               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038511,            0.024297,           0.0016452,             0.88277,             0.59553,             0.63577,             0.38711,            0.037175,            0.015912,           0.0054958,            0.006535,            0.006535,            0.006535
                  37,            0.037262,            0.027184,           0.0012927,             0.79884,             0.54167,             0.55068,             0.28371,            0.056209,            0.038357,           0.0090161,            0.006436,            0.006436,            0.006436
                  38,            0.037416,             0.02449,           0.0014735,             0.81056,             0.62506,              0.6514,             0.41814,            0.034927,            0.016369,            0.004808,            0.006337,            0.006337,            0.006337
                  39,            0.036676,            0.023761,           0.0014168,             0.87005,             0.60579,              0.6937,             0.46567,            0.033557,            0.013461,           0.0075153,            0.006238,            0.006238,            0.006238
                  40,            0.036187,            0.024392,           0.0015925,             0.60013,             0.66926,             0.67744,             0.45176,            0.034375,            0.017444,           0.0031233,            0.006139,            0.006139,            0.006139
                  41,            0.037312,            0.025084,           0.0012344,             0.89052,             0.60349,              0.7607,             0.48816,            0.032734,            0.013261,           0.0053751,             0.00604,             0.00604,             0.00604
                  42,            0.036249,            0.023954,           0.0013324,             0.78715,             0.87745,             0.88943,             0.46672,             0.03884,            0.021184,           0.0039916,            0.005941,            0.005941,            0.005941
                  43,            0.035975,            0.024774,           0.0011402,             0.85535,             0.60154,             0.63616,             0.40306,             0.03725,            0.016999,           0.0096993,            0.005842,            0.005842,            0.005842
                  44,            0.036244,             0.02492,           0.0012407,              0.8635,              0.6225,             0.67394,             0.42772,            0.035981,            0.017457,           0.0046548,            0.005743,            0.005743,            0.005743
                  45,            0.036167,            0.024846,           0.0012728,             0.67842,             0.82289,             0.80323,             0.44032,            0.036711,            0.015913,           0.0017661,            0.005644,            0.005644,            0.005644
                  46,            0.036229,            0.023829,           0.0011388,             0.83922,             0.62972,              0.7992,             0.45766,            0.032807,            0.013682,           0.0040839,            0.005545,            0.005545,            0.005545
                  47,            0.035936,            0.023178,           0.0012567,             0.94632,             0.61198,              0.7288,             0.47838,            0.031392,            0.012822,           0.0082527,            0.005446,            0.005446,            0.005446
                  48,            0.035631,            0.024278,           0.0010577,             0.88544,             0.62109,             0.70798,             0.40916,             0.03753,            0.015698,           0.0093495,            0.005347,            0.005347,            0.005347
                  49,            0.035352,            0.022157,           0.0013078,             0.93276,             0.69371,             0.75248,             0.45561,            0.033621,            0.012846,           0.0096752,            0.005248,            0.005248,            0.005248
                  50,            0.036132,            0.023636,           0.0010558,             0.84045,             0.59045,             0.69156,             0.41689,            0.034244,            0.017402,           0.0098188,            0.005149,            0.005149,            0.005149
                  51,            0.035698,            0.023255,           0.0010441,             0.66439,             0.75696,             0.85851,              0.4893,            0.034902,            0.015549,           0.0043461,             0.00505,             0.00505,             0.00505
                  52,            0.034888,            0.024526,          0.00099135,              0.9235,             0.63112,             0.74357,              0.4965,             0.03309,            0.018638,           0.0047945,            0.004951,            0.004951,            0.004951
                  53,            0.034948,            0.023767,          0.00096725,             0.93085,             0.70377,             0.72742,             0.49228,            0.030837,            0.012997,           0.0095771,            0.004852,            0.004852,            0.004852
                  54,            0.034457,            0.024269,          0.00095515,             0.91112,             0.72637,             0.85529,             0.49203,            0.031305,             0.01536,           0.0075068,            0.004753,            0.004753,            0.004753
                  55,            0.034648,            0.021209,          0.00092753,             0.92165,             0.61283,             0.82661,             0.49529,            0.032019,            0.014459,           0.0093807,            0.004654,            0.004654,            0.004654
                  56,            0.035056,            0.024646,           0.0009959,             0.88369,             0.63111,              0.7136,             0.46415,            0.029236,            0.013051,           0.0093538,            0.004555,            0.004555,            0.004555
                  57,            0.034582,            0.022447,           0.0010347,                   1,             0.44937,             0.50337,               0.322,            0.060386,              0.0312,            0.021377,            0.004456,            0.004456,            0.004456
                  58,             0.03431,            0.023891,          0.00099419,             0.92194,             0.72787,             0.72574,             0.45855,            0.033005,            0.016918,             0.01024,            0.004357,            0.004357,            0.004357
                  59,            0.034136,            0.022385,          0.00088599,             0.98199,             0.72403,             0.76357,             0.49208,            0.030765,              0.0134,            0.004807,            0.004258,            0.004258,            0.004258
                  60,            0.034834,            0.022787,          0.00089947,             0.92046,             0.70636,             0.72735,             0.50053,             0.03124,            0.013161,           0.0081361,            0.004159,            0.004159,            0.004159
                  61,            0.033418,            0.023053,          0.00083505,             0.83593,             0.68124,             0.84322,             0.46272,            0.035776,            0.018988,           0.0069006,             0.00406,             0.00406,             0.00406
                  62,            0.034341,            0.023878,          0.00068501,             0.93373,             0.39608,             0.51869,             0.33712,            0.056157,            0.027092,            0.011363,            0.003961,            0.003961,            0.003961
                  63,            0.033956,            0.022098,          0.00086608,             0.85438,             0.62578,             0.66355,             0.43577,            0.031713,            0.013545,             0.01134,            0.003862,            0.003862,            0.003862
                  64,             0.03374,             0.02178,           0.0008108,             0.89425,             0.58845,             0.69346,             0.45407,            0.031254,            0.013927,           0.0098485,            0.003763,            0.003763,            0.003763
                  65,            0.033504,              0.0219,          0.00076977,             0.82615,             0.58199,              0.6822,             0.44138,            0.032879,            0.015515,           0.0097673,            0.003664,            0.003664,            0.003664
                  66,            0.033375,            0.022592,          0.00077115,             0.93171,             0.59161,             0.69087,             0.48117,            0.030842,            0.013357,           0.0092428,            0.003565,            0.003565,            0.003565
                  67,            0.032836,            0.023008,           0.0010033,             0.94916,             0.68358,              0.7442,             0.49689,            0.029157,            0.012769,           0.0084727,            0.003466,            0.003466,            0.003466
                  68,            0.032879,            0.023666,          0.00073048,             0.92785,             0.59078,             0.71578,             0.48116,            0.029704,            0.013946,            0.011105,            0.003367,            0.003367,            0.003367
                  69,            0.033842,            0.022138,           0.0008156,             0.89506,             0.60361,             0.74316,             0.50383,            0.029215,            0.014701,           0.0073696,            0.003268,            0.003268,            0.003268
                  70,             0.03289,            0.022693,          0.00088018,             0.92338,             0.70302,             0.72041,             0.49522,            0.031736,            0.012251,            0.012011,            0.003169,            0.003169,            0.003169
                  71,            0.032721,            0.022092,          0.00057507,             0.93268,             0.70515,             0.73326,             0.49955,            0.030341,            0.012346,            0.010852,             0.00307,             0.00307,             0.00307
                  72,            0.032346,            0.022084,          0.00066537,             0.92625,             0.59314,             0.66927,             0.47858,            0.030012,            0.012328,            0.011993,            0.002971,            0.002971,            0.002971
                  73,            0.032186,            0.022873,          0.00071698,             0.81965,             0.57773,             0.71798,             0.47391,            0.034343,            0.019145,           0.0080419,            0.002872,            0.002872,            0.002872
                  74,            0.032273,             0.02143,          0.00074748,              0.8388,             0.62277,             0.66418,             0.44448,            0.034018,            0.018493,            0.012423,            0.002773,            0.002773,            0.002773
                  75,            0.032635,            0.021674,          0.00069818,              0.8365,             0.71648,             0.73943,             0.50842,            0.029611,             0.01253,           0.0098272,            0.002674,            0.002674,            0.002674
                  76,             0.03183,            0.023581,          0.00078054,             0.84674,             0.70547,             0.76793,             0.50269,            0.030803,             0.01302,            0.010841,            0.002575,            0.002575,            0.002575
                  77,            0.032594,             0.02236,           0.0007471,             0.80824,             0.67833,             0.79085,             0.53918,            0.032585,            0.015131,           0.0094128,            0.002476,            0.002476,            0.002476
                  78,            0.031915,            0.020929,          0.00072797,             0.83325,             0.62613,             0.68838,              0.4442,             0.03534,            0.022955,            0.008055,            0.002377,            0.002377,            0.002377
                  79,            0.031222,            0.021359,          0.00074522,             0.88729,             0.65451,             0.74376,              0.5007,            0.034271,            0.015387,            0.008155,            0.002278,            0.002278,            0.002278
                  80,            0.031625,            0.022488,          0.00058472,             0.82827,             0.67832,              0.7003,             0.46564,            0.033007,            0.014925,            0.010851,            0.002179,            0.002179,            0.002179
                  81,            0.031773,            0.021958,          0.00063315,             0.92045,             0.68024,             0.72832,             0.48646,             0.03331,            0.014512,           0.0095321,             0.00208,             0.00208,             0.00208
                  82,            0.031727,            0.022586,          0.00081467,             0.94622,             0.70649,             0.73099,             0.50537,            0.030281,              0.0119,            0.010851,            0.001981,            0.001981,            0.001981
                  83,            0.031537,              0.0221,          0.00077387,             0.83388,             0.53799,             0.66083,             0.42601,            0.034504,            0.017457,            0.011222,            0.001882,            0.001882,            0.001882
                  84,            0.030828,            0.020375,          0.00092381,             0.88076,             0.40313,             0.54822,             0.34465,            0.039341,            0.031939,            0.011616,            0.001783,            0.001783,            0.001783
                  85,            0.031425,            0.021207,          0.00063284,             0.85253,             0.57428,             0.69042,             0.46816,            0.033004,            0.015258,            0.011385,            0.001684,            0.001684,            0.001684
                  86,             0.03154,            0.020968,          0.00058451,             0.92575,             0.57835,              0.7421,             0.51892,            0.030462,             0.01257,           0.0099281,            0.001585,            0.001585,            0.001585
                  87,             0.03056,            0.021699,          0.00053679,             0.89248,              0.7007,             0.74314,             0.50277,            0.030799,            0.013149,           0.0088799,            0.001486,            0.001486,            0.001486
                  88,            0.030598,            0.022702,          0.00065008,             0.90053,             0.69086,             0.72629,             0.50094,            0.031393,             0.01293,            0.011176,            0.001387,            0.001387,            0.001387
                  89,            0.031263,            0.021352,          0.00043173,             0.86878,             0.63341,               0.702,             0.47897,            0.032073,            0.012237,            0.011144,            0.001288,            0.001288,            0.001288
                  90,              0.0301,             0.02191,          0.00047015,             0.82632,             0.69505,             0.68646,             0.45364,            0.033134,            0.014905,           0.0097445,            0.001189,            0.001189,            0.001189
                  91,            0.030029,            0.021019,          0.00056241,             0.84438,             0.69478,             0.69451,             0.44864,            0.033333,              0.0162,            0.011957,             0.00109,             0.00109,             0.00109
                  92,            0.030432,            0.021099,          0.00049211,             0.82632,             0.69492,             0.71785,             0.47571,            0.032301,            0.015345,           0.0093448,            0.000991,            0.000991,            0.000991
                  93,            0.030058,            0.020707,          0.00052597,             0.84089,             0.70475,              0.7169,             0.49313,            0.032134,            0.014178,            0.010301,            0.000892,            0.000892,            0.000892
                  94,            0.030566,            0.023721,          0.00057303,             0.83485,             0.70384,               0.712,             0.49292,            0.031781,            0.013021,            0.011125,            0.000793,            0.000793,            0.000793
                  95,            0.030254,            0.020403,          0.00059863,             0.83479,             0.68711,              0.7314,             0.47304,             0.03399,            0.016388,            0.011178,            0.000694,            0.000694,            0.000694
                  96,            0.029539,            0.020305,          0.00041888,             0.84695,             0.67624,             0.73932,             0.50363,            0.031906,            0.014621,            0.010904,            0.000595,            0.000595,            0.000595
                  97,            0.030621,            0.021757,          0.00048714,             0.92544,             0.58123,             0.73912,             0.50294,            0.031235,            0.012982,           0.0097588,            0.000496,            0.000496,            0.000496
                  98,            0.030008,            0.021404,          0.00045579,             0.83054,             0.69021,             0.74133,             0.51137,            0.031597,            0.014125,            0.010404,            0.000397,            0.000397,            0.000397
                  99,            0.029739,             0.02151,          0.00048752,             0.92292,             0.58123,             0.74189,             0.50955,            0.031069,            0.012703,           0.0095841,            0.000298,            0.000298,            0.000298
